p1,p2,p3
82.56041163,99.2480647,60.51774907
162.6340857,198.4363746,158.680417
259.8232173,297.94765,250.3713989
296.4584868,390.0779822,341.2766169
328.7368341,489.5480931,328.5608135
407.8364241,588.634294,419.0732146
460.3096994,680.7857742,518.0912008
546.0195587,777.618088,617.1269697
631.6195866,872.3643967,716.7038887
685.2388419,971.9423379,813.3751185
777.9255718,1070.429787,912.1400566
876.3003643,1168.131758,1008.655068
975.4379525,1267.577072,1101.282977
1052.592635,1363.474323,1185.21069
1152.081558,1452.209089,1272.880955
1225.004827,1517.360631,1367.643877
1305.758417,1603.947217,1391.17499
1348.530456,1690.304345,1464.353171
1443.18246,1781.60427,1409.178941
1529.427568,1870.255807,1505.869649
1595.359543,1959.452119,1602.140764
1670.445971,2012.240402,1697.623536
1730.142883,2105.182902,1672.543244
1769.883129,2190.699683,1687.684334
1827.342742,2283.532966,1690.078815
1889.138851,2379.655945,1770.972892
1975.342452,2479.038414,1847.421818
2057.762069,2577.165,1911.816349
2146.156028,2655.212901,1948.4728
2193.329787,2753.466206,1877.200967
2272.011876,2848.475561,1926.337761
2370.903118,2946.939163,1970.82674
2428.88628,3044.375986,2068.21897
2528.527856,3142.391041,2161.711713
2561.840132,3239.81888,2254.955377
2645.523521,3317.895181,2351.757273
2702.52573,3413.548172,2451.162664
2791.033695,3511.643319,2540.911453
2872.762073,3592.258866,2623.633012
2939.066739,3664.228139,2585.481085
3020.194057,3721.770799,2677.407988
3097.072597,3752.402648,2765.202101
3070.79899,3850.615683,2863.770919
3152.223651,3941.621693,2955.794214
3234.724378,3849.676008,3046.373416
3321.187897,3904.23793,3143.51807
3390.061821,3994.667743,3238.490989
3470.588278,4086.442955,3330.737531
3457.735451,4169.970455,3242.801833
3505.723347,4235.710858,3166.35629
3586.374926,4328.575422,3090.658156
3645.100452,4424.646922,3023.747013
3702.053534,4482.408185,2939.572744
3786.873917,4573.709665,2875.917537
3873.306349,4640.71363,2975.142103
3964.738795,4613.928361,2985.710204
4011.667619,4527.948832,3040.971631
4108.411601,4626.932526,3022.419444
4110.033233,4707.976601,3121.453862
4194.607082,4806.870537,3220.32498
4264.301628,4904.243764,3139.282851
4340.018805,4996.56973,3225.496302
4404.582715,5095.053904,3318.650177
4319.45751,5191.67403,3415.570163
4385.731975,5291.558864,3513.029758
4451.755045,5380.296402,3601.934071
4536.103964,5479.757486,3691.073385
4608.156901,5573.08761,3786.02184
4688.015847,5672.058305,3869.390952
4787.116565,5771.501344,3967.539609
4816.503668,5868.589427,4014.194498
4906.067887,5959.74901,3917.23726
4921.653496,5989.279202,3979.248754
5005.653499,5954.120992,4059.460089
5103.537616,5960.54688,4152.574215
5119.474853,6058.31272,4251.478728
5209.001841,6080.1702,4327.907546
5287.213299,6175.677921,4425.282545
5384.917103,6273.622183,4366.079923
5468.329033,6370.465529,4462.299017
5564.249161,6469.696652,4528.111961
5654.733207,6567.216981,4608.098908
5734.866142,6640.943982,4697.765599
5713.828151,6738.298679,4716.020875
5809.492065,6834.919683,4813.758765
5897.95817,6912.083621,4911.620187
5971.615189,7007.040932,5006.72217
6051.047212,7085.444899,5105.840332
5963.746045,7179.027252,5048.474407
6025.225438,7262.982622,4954.261434
6083.913343,7361.87511,5033.225001
6157.24925,7454.400157,5016.828782
6252.56948,7553.896541,5113.420011
6352.267639,7652.771863,5207.653301
6429.958143,7748.197659,5305.027483
6503.069783,7847.256466,5390.825914
6590.129429,7937.585757,5485.04633
6553.45867,8029.423896,
6643.348823,8126.699695,
6669.455364,8223.480487,
