,Unnamed: 0,frame_id,img_timestamp,identified_person,identification_confidence,face_id,age_low,age_high,smile,eyeglasses,sunglasses,gender,beard,mustache,eyesopen,mouthopen,confused,calm,happy,disgusted,angry,fear,sad,surprised,emotions,emotion0,cum_emotions,cum0_emotions,min_timestamp,min_upgrade,main_emotion,mainE_confidence
0,8,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00003.png,17,p2,99.99720001220699,2,22,34,False,False,False,Female,False,False,True,False,0.799978733062744,69.2548828125,10.509519577026401,14.462603569030799,2.2666635513305695,0.681642770767212,1.28776621818542,0.736944317817688,0.21995413303374722,-5.2889479398727435,0.21995413303374722,-5.2889479398727435,0.2833333333333333,0.17,calm,69.2548828125
1,12,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00004.png,37,p2,99.99340057373051,3,22,34,False,False,False,Female,False,False,True,False,0.655081748962402,86.56432342529301,1.80177390575409,3.6285996437072794,3.5304214954376203,1.10170006752014,2.03599286079407,0.6820964813232421,4.868303418159481,-4.954361796379095,5.088257551193228,-10.243309736251838,0.6166666666666667,0.37,calm,86.56432342529301
2,15,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00005.png,57,p2,99.99340057373051,3,22,34,False,False,False,Female,False,False,True,False,0.41519877314567605,92.7673721313477,0.200807258486748,0.746692419052124,2.54785943031311,0.233439564704895,2.9203121662139906,0.168310031294823,4.908837258815766,-5.1971083879470825,9.997094810008996,-15.44041812419892,0.95,0.57,calm,92.7673721313477
3,18,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00006.png,77,p2,99.99340057373051,3,21,33,False,False,False,Female,False,False,True,False,0.28406864404678306,92.63613891601558,0.806845903396606,1.49346101284027,2.13457560539246,0.507887363433838,1.89027762413025,0.246735483407974,3.8087923228740745,-3.672776848077779,13.80588713288307,-19.1131949722767,1.2833333333333334,1.17,calm,92.63613891601558
4,21,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00007.png,97,p2,99.99340057373051,3,21,33,False,False,False,Female,False,False,True,False,0.39460855722427396,89.3103561401367,0.5568426847457889,1.45628523826599,5.03485631942749,0.439911484718323,2.51082849502563,0.29631507396698,6.987860262393948,-7.314292252063744,20.793747395277016,-26.427487224340442,1.6166666666666667,1.37,calm,89.3103561401367
5,23,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00008.png,117,p2,99.99340057373051,2,16,28,False,False,False,Female,False,False,True,False,0.609630823135376,93.8572158813477,0.214837700128555,0.258168131113052,2.27255201339722,0.21128177642822302,2.30701637268066,0.269288182258606,4.4071770906448355,-3.532698035240172,25.200924485921853,-29.960185259580616,1.95,1.5699999999999998,calm,93.8572158813477
6,27,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00009.png,137,p2,99.99720001220699,3,16,28,False,False,False,Female,False,False,True,False,0.531399965286255,85.62933349609379,0.287043690681458,0.750100493431091,6.540527820587161,0.24787308275699602,5.81650876998901,0.197217538952827,11.807670444250107,-11.843602806329725,37.00859493017196,-41.80378806591034,2.283333333333333,2.17,calm,85.62933349609379
7,30,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00010.png,157,p2,99.99340057373051,3,16,28,False,False,False,Female,False,False,True,False,0.19924379885196697,89.1054306030273,0.141273140907288,0.25898659229278603,1.7505781650543202,0.130122914910316,8.37073802947998,0.0436314828693867,9.978113342076538,-9.86603144928813,46.9867082722485,-51.66981951519847,2.6166666666666667,2.37,calm,89.1054306030273
8,33,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00011.png,177,p2,99.9972991943359,3,12,22,False,False,False,Female,False,False,True,False,2.7637305259704603,43.274497985839794,0.44552135467529297,1.32433533668518,9.89724254608154,1.10164546966553,40.8186149597168,0.37440812587738,48.549366593360894,-47.354887366294854,95.5360748656094,-99.02470688149333,2.95,2.57,calm,43.274497985839794
9,36,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00012.png,197,p2,99.99340057373051,3,13,25,False,False,False,Female,False,False,True,False,7.879314422607419,46.1520805358887,0.387594223022461,1.89978277683258,17.4497413635254,0.456796020269394,25.3902854919434,0.384400099515915,34.289719998836574,-35.63170486688619,129.82579486444598,-134.65641174837953,3.283333333333333,3.17,calm,46.1520805358887
10,39,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00013.png,217,p2,99.99720001220699,3,22,34,False,False,False,Female,False,False,True,False,0.519857466220856,90.2535629272461,4.31549787521362,2.1755571365356396,1.1967450380325302,0.28767332434654197,0.949180662631989,0.30191969871521,4.355601996183396,1.1034655272960696,134.18139686062938,-133.55294622108346,3.6166666666666667,3.37,calm,90.2535629272461
11,42,/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound3/00014.png,237,p2,99.99340057373051,3,22,34,False,False,False,Female,False,False,True,False,0.685300230979919,91.4253082275391,1.79462289810181,1.9471123218536397,1.76860654354095,0.340359568595886,1.68600118160248,0.352680414915085,3.3098580539226523,-2.2287569344043696,137.49125491455203,-135.78170315548783,3.95,3.57,calm,91.4253082275391
